pdb,reactivity,0,pdbid,biological_unit,unit
4HY2,High,reduced_4hy2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4HY2,DIMERIC,DIMERIC
4LKL,High,reduced_4lkl.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4LKL,DIMERIC,DIMERIC
4LKM,High,reduced_4lkm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4LKM,DIMERIC,DIMERIC
4LKM,High,reduced_4lkm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4LKM,DIMERIC,DIMERIC
4O9W,High,reduced_4o9w.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4O9W,DIMERIC,DIMERIC
4RCP,High,reduced_4rcp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4RCP,DIMERIC,DIMERIC
4X9R,High,reduced_4x9r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4X9R,DIMERIC,DIMERIC
5NFU,High,reduced_5nfu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5NFU,DIMERIC,DIMERIC
6GY2,High,,,,NA
2B3H,High,reduced_2b3h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2B3H,MONOMERIC,MONOMERIC
2G6P,High,reduced_2g6p.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2G6P,MONOMERIC,MONOMERIC
4FLK,High,reduced_4flk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4FLK,MONOMERIC,MONOMERIC
4IU6,High,reduced_4iu6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4IU6,MONOMERIC,MONOMERIC
4U6J,High,reduced_4u6j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4U6J,MONOMERIC,MONOMERIC
5CVD,High,reduced_5cvd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5CVD,DIMERIC,DIMERIC
2DJF,High,reduced_2djf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DODECAMERIC,2DJF,DODECAMERIC,MULTIMERIC
4JSN,High,reduced_4jsn.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4JSN,DIMERIC,DIMERIC
5WBY,High,reduced_5wby.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5WBY,TRIMERIC,MULTIMERIC
5ZM8,High,reduced_5zm8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5ZM8,MONOMERIC,MONOMERIC
5ZM8,High,reduced_5zm8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,5ZM8,TETRAMERIC,MULTIMERIC
6L54,High,reduced_6l54.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6L54,TRIMERIC,MULTIMERIC
5X2L,High,reduced_5x2l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5X2L,DIMERIC,DIMERIC
2W8N,High,reduced_2w8n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,2W8N,TETRAMERIC,MULTIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4PYU,High,reduced_4pyu.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4PYU,DIMERIC,DIMERIC
4D9T,High,reduced_4d9t.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4D9T,MONOMERIC,MONOMERIC
4D9U,High,reduced_4d9u.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4D9U,MONOMERIC,MONOMERIC
4JG7,High,,,,NA
1P0R,High,reduced_1p0r.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1P0R,MONOMERIC,MONOMERIC
6PW9,High,,,,NA
6PPL,High,,,,NA
6C95,High,,,,NA
3VN9,High,reduced_3vn9.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3VN9,MONOMERIC,MONOMERIC
6UD7,High,reduced_6ud7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,6UD7,TETRAMERIC,MULTIMERIC
5HEX,High,reduced_5hex.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HEX,MONOMERIC,MONOMERIC
5HEX,High,reduced_5hex.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HEX,MONOMERIC,MONOMERIC
3SD4,High,reduced_3sd4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3SD4,MONOMERIC,MONOMERIC
3SD4,High,reduced_3sd4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3SD4,MONOMERIC,MONOMERIC
5HG1,High,reduced_5hg1.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5HG1,MONOMERIC,MONOMERIC
3Q1J,High,,,,NA
5WBY,High,reduced_5wby.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5WBY,TRIMERIC,MULTIMERIC
4JSN,High,reduced_4jsn.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4JSN,DIMERIC,DIMERIC
3WTF,High,reduced_3wtf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3WTF,DIMERIC,DIMERIC
3PDF,High,reduced_3pdf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3PDF,TETRAMERIC,MULTIMERIC
4OEL,High,reduced_4oel.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,4OEL,TETRAMERIC,MULTIMERIC
6N9O,High,reduced_6n9o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6N9O,MONOMERIC,MONOMERIC
6N9O,High,reduced_6n9o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6N9O,MONOMERIC,MONOMERIC
6N9O,High,reduced_6n9o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6N9O,MONOMERIC,MONOMERIC
1W4V,High,reduced_1w4v.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1W4V,DIMERIC,DIMERIC
5SY6,High,reduced_5sy6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5SY6,DIMERIC,DIMERIC
4ZGG,High,reduced_4zgg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4ZGG,MONOMERIC,MONOMERIC
3SF8,High,reduced_3sf8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3SF8,DIMERIC,DIMERIC
2R1U,High,reduced_2r1u.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2R1U,DIMERIC,DIMERIC
1PDV,High,reduced_1pdv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1PDV,DIMERIC,DIMERIC
1P5F,High,reduced_1p5f.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1P5F,DIMERIC,DIMERIC
1J42,High,reduced_1j42.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1J42,MONOMERIC,MONOMERIC
5CCB,High,reduced_5ccb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,5CCB,HEXAMERIC,MULTIMERIC
6D5X,High,reduced_6d5x.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6D5X,TRIMERIC,MULTIMERIC
6D5K,High,,,,NA
2IDX,High,,,,NA
1YLA,High,reduced_1yla.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1YLA,DIMERIC,DIMERIC
3K9O,High,reduced_3k9o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3K9O,DIMERIC,DIMERIC
3K9P,High,reduced_3k9p.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3K9P,DIMERIC,DIMERIC
6IF1,High,reduced_6if1.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6IF1,DIMERIC,DIMERIC
6IF1,High,reduced_6if1.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6IF1,DIMERIC,DIMERIC
3J5Y,High,reduced_3j5y.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3J5Y,TETRAMERIC,MULTIMERIC
4D5N,High,reduced_4d5n.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4D5N,DIMERIC,DIMERIC
5A8L,High,,,,NA
2KTV,High,reduced_2ktv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2KTV,MONOMERIC,MONOMERIC
3M66,High,reduced_3m66.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3M66,MONOMERIC,MONOMERIC
6BNT,High,reduced_6bnt.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6BNT,DIMERIC,DIMERIC
1H6E,High,reduced_1h6e.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1H6E,DIMERIC,DIMERIC
6N9O,High,reduced_6n9o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,6N9O,MONOMERIC,MONOMERIC
5O2Q,High,reduced_5o2q.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5O2Q,MONOMERIC,MONOMERIC
5O2P,High,reduced_5o2p.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5O2P,MONOMERIC,MONOMERIC
5O2M,High,reduced_5o2m.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5O2M,MONOMERIC,MONOMERIC
3WTD,High,reduced_3wtd.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3WTD,DIMERIC,DIMERIC
3EH2,High,reduced_3eh2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3EH2,MONOMERIC,MONOMERIC
3EH2,High,reduced_3eh2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3EH2,MONOMERIC,MONOMERIC
3EH2,High,reduced_3eh2.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3EH2,MONOMERIC,MONOMERIC
1H6O,High,reduced_1h6o.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1H6O,DIMERIC,DIMERIC
3BQO,High,reduced_3bqo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,3BQO,TETRAMERIC,MULTIMERIC
3L82,High,reduced_3l82.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3L82,DIMERIC,DIMERIC
5WIR,High,reduced_5wir.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,5WIR,TETRAMERIC,MULTIMERIC
5XUP,High,reduced_5xup.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,5XUP,TETRAMERIC,MULTIMERIC
2C9Y,High,reduced_2c9y.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2C9Y,MONOMERIC,MONOMERIC
2H5G,High,reduced_2h5g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,2H5G,DIMERIC,DIMERIC
2H5G,High,reduced_2h5g.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2H5G,MONOMERIC,MONOMERIC
6V6B,High,reduced_6v6b.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6V6B,DIMERIC,DIMERIC
1EGX,High,reduced_1egx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1EGX,MONOMERIC,MONOMERIC
2KDB,High,reduced_2kdb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2KDB,MONOMERIC,MONOMERIC
5XWM,High,reduced_5xwm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5XWM,DIMERIC,DIMERIC
5GU7,High,reduced_5gu7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5GU7,MONOMERIC,MONOMERIC
5GU6,High,reduced_5gu6.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5GU6,MONOMERIC,MONOMERIC
2R2J,High,reduced_2r2j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2R2J,MONOMERIC,MONOMERIC
2LJK,High,reduced_2ljk.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2LJK,MONOMERIC,MONOMERIC
1WOU,High,reduced_1wou.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1WOU,MONOMERIC,MONOMERIC
5D8F,High,reduced_5d8f.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,5D8F,TRIMERIC,MULTIMERIC
1BX4,High,reduced_1bx4.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1BX4,MONOMERIC,MONOMERIC
4O1L,High,reduced_4o1l.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4O1L,DIMERIC,DIMERIC
1WXV,High,reduced_1wxv.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1WXV,MONOMERIC,MONOMERIC
1W4V,High,reduced_1w4v.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1W4V,DIMERIC,DIMERIC
1W4V,High,reduced_1w4v.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1W4V,DIMERIC,DIMERIC
1WYX,High,reduced_1wyx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1WYX,DIMERIC,DIMERIC
5XWM,High,reduced_5xwm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5XWM,DIMERIC,DIMERIC
3RLE,High,reduced_3rle.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3RLE,MONOMERIC,MONOMERIC
6EHR,High,reduced_6ehr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEPTAMERIC,6EHR,HEPTAMERIC,MULTIMERIC
3G5P,High,reduced_3g5p.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3G5P,DIMERIC,DIMERIC
5B73,High,reduced_5b73.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5B73,MONOMERIC,MONOMERIC
4COS,High,reduced_4cos.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4COS,MONOMERIC,MONOMERIC
1RX0,High,reduced_1rx0.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,1RX0,TETRAMERIC,MULTIMERIC
1PYO,High,reduced_1pyo.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,1PYO,HEXAMERIC,MULTIMERIC
2P2C,High,reduced_2p2c.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,2P2C,HEXAMERIC,MULTIMERIC
2P2C,High,reduced_2p2c.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,2P2C,HEXAMERIC,MULTIMERIC
2P2C,High,reduced_2p2c.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,2P2C,HEXAMERIC,MULTIMERIC
3R5J,High,reduced_3r5j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,3R5J,TRIMERIC,MULTIMERIC
3R5J,High,reduced_3r5j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,3R5J,TRIMERIC,MULTIMERIC
3RJM,High,reduced_3rjm.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,3RJM,HEXAMERIC,MULTIMERIC
4C2K,High,,,,NA
5A31,High,reduced_5a31.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 24-MERIC,5A31,24-MERIC,MULTIMERIC
3EBQ,High,reduced_3ebq.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,3EBQ,MONOMERIC,MONOMERIC
6PED,High,reduced_6ped.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6PED,DIMERIC,DIMERIC
5A2Q,High,reduced_5a2q.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 38-MERIC,5A2Q,38-MERIC,MULTIMERIC
6KMR,High,reduced_6kmr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6KMR,DIMERIC,DIMERIC
5FLX,High,reduced_5flx.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 35-MERIC,5FLX,35-MERIC,MULTIMERIC
6G18,High,reduced_6g18.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 35-MERIC,6G18,35-MERIC,MULTIMERIC
6H1E,High,reduced_6h1e.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,6H1E,TRIMERIC,MULTIMERIC
6G5H,High,reduced_6g5h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 35-MERIC,6G5H,35-MERIC,MULTIMERIC
6G5I,High,reduced_6g5i.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: 36-MERIC,6G5I,36-MERIC,MULTIMERIC
5CYP,High,reduced_5cyp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5CYP,MONOMERIC,MONOMERIC
1NE7,High,reduced_1ne7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: HEXAMERIC,1NE7,HEXAMERIC,MULTIMERIC
3E0J,High,reduced_3e0j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3E0J,DIMERIC,DIMERIC
3E0J,High,reduced_3e0j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3E0J,DIMERIC,DIMERIC
3E0J,High,reduced_3e0j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3E0J,DIMERIC,DIMERIC
3E0J,High,reduced_3e0j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3E0J,DIMERIC,DIMERIC
5Y1Z,High,reduced_5y1z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5Y1Z,DIMERIC,DIMERIC
5Y1Z,High,reduced_5y1z.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,5Y1Z,DIMERIC,DIMERIC
6C9M,High,reduced_6c9m.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6C9M,DIMERIC,DIMERIC
6C9M,High,reduced_6c9m.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,6C9M,DIMERIC,DIMERIC
2HE7,High,reduced_2he7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2HE7,MONOMERIC,MONOMERIC
4IGG,High,reduced_4igg.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4IGG,DIMERIC,DIMERIC
4EHP,High,reduced_4ehp.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,4EHP,DIMERIC,DIMERIC
1G3J,High,reduced_1g3j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1G3J,DIMERIC,DIMERIC
1G3J,High,reduced_1g3j.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1G3J,DIMERIC,DIMERIC
1JDH,High,reduced_1jdh.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1JDH,DIMERIC,DIMERIC
1JPW,High,reduced_1jpw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1JPW,DIMERIC,DIMERIC
1JPW,High,reduced_1jpw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1JPW,DIMERIC,DIMERIC
1JPW,High,reduced_1jpw.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1JPW,DIMERIC,DIMERIC
1LUJ,High,reduced_1luj.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1LUJ,DIMERIC,DIMERIC
1QZ7,High,reduced_1qz7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,1QZ7,DIMERIC,DIMERIC
1T08,High,reduced_1t08.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TRIMERIC,1T08,TRIMERIC,MULTIMERIC
2Z6H,High,reduced_2z6h.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2Z6H,MONOMERIC,MONOMERIC
6QAP,High,reduced_6qap.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: TETRAMERIC,6QAP,TETRAMERIC,MULTIMERIC
3TX7,High,reduced_3tx7.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: DIMERIC,3TX7,DIMERIC,DIMERIC
4PD3,High,reduced_4pd3.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4PD3,MONOMERIC,MONOMERIC
4PD3,High,reduced_4pd3.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4PD3,MONOMERIC,MONOMERIC
1JHB,High,reduced_1jhb.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,1JHB,MONOMERIC,MONOMERIC
4RQR,High,reduced_4rqr.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,4RQR,MONOMERIC,MONOMERIC
2WL8,High,reduced_2wl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WL8,MONOMERIC,MONOMERIC
2WL8,High,reduced_2wl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WL8,MONOMERIC,MONOMERIC
2WL8,High,reduced_2wl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WL8,MONOMERIC,MONOMERIC
2WL8,High,reduced_2wl8.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,2WL8,MONOMERIC,MONOMERIC
5LNF,High,reduced_5lnf.pdb:REMARK 350 AUTHOR DETERMINED BIOLOGICAL UNIT: MONOMERIC,5LNF,MONOMERIC,MONOMERIC
